,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,Total_Pts
205,1744,Kudus Mohammed,WHU,MID,8.1,3.29,0.0,0.0,3.55,0.0,0.0,3.16,0.0,0.0,0.0,2.43,0.0,0.0,0.0,2.94,15.37
206,879,Christian Nørgaard,BRE,MID,6.9,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,3.96,0.0,4.1,0.0,0.0,0.0,11.649999999999999
207,1316,Pape Matar Sarr,TOT,MID,6.5,2.32,3.76,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,2.62,0.0,3.42,0.0,0.0,16.299999999999997
208,1117,Mathias Jørgensen,BRE,DEF,6.6,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.66,0.0,0.0,0.0,2.7
209,1255,Julio César Enciso,BHA,MID,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,346,James Milner,BHA,MID,6.6,0.0,0.0,0.0,1.08,1.21,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.97,4.35
211,84,Tariq Lamptey,BHA,DEF,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,613,Łukasz Fabiański,WHU,GK,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.18,0.51
213,1109,Takehiro Tomiyasu,ARS,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,853,Valentino Livramento,NEW,DEF,8.3,2.83,0.0,4.47,0.0,0.0,0.0,4.63,0.0,5.01,0.0,0.0,0.0,0.0,2.25,0.0,19.189999999999998
