,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,Total_Pts
30,236,Jordan Pickford,EVE,GK,7.0,3.21,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,4.03,0.0,0.0,4.59,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.48,4.05,0.0,0.0,3.59,5.09,3.69,4.29,2.75,4.26,4.66,5.36,0.74,3.41,62.97
31,710,Rúben Dias,MCI,DEF,9.7,5.92,0.0,0.0,4.26,0.0,0.0,5.5,0.0,0.0,4.71,0.0,0.0,0.0,4.71,0.0,0.0,2.36,0.0,0.0,0.0,0.24,0.0,3.19,0.0,3.47,4.98,4.94,0.95,3.21,4.77,5.12,3.97,2.31,5.35,69.96
32,8,Emiliano Martínez,AVL,GK,7.1,0.0,4.65,0.0,4.18,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,4.65,0.0,0.0,0.0,4.33,0.0,0.0,0.0,2.55,5.23,0.0,0.0,3.18,4.85,3.56,2.71,2.31,4.39,4.17,3.84,2.26,4.78,67.2
33,392,Bernardo Silva,MCI,MID,8.3,3.6,0.0,0.0,2.82,0.0,0.0,3.4,0.0,0.0,2.98,0.0,0.0,0.0,3.15,0.0,0.0,2.29,0.0,0.0,0.0,0.16,0.0,2.31,0.0,2.62,3.12,3.29,0.86,2.41,2.98,3.29,2.75,1.99,3.79,47.81
34,3406,Alfie Doughty,LUT,DEF,6.9,4.47,0.0,0.0,0.0,2.63,0.0,0.0,0.96,0.0,0.0,0.0,0.0,2.67,0.0,0.0,2.7,0.0,0.0,2.71,2.24,0.0,1.5,0.0,1.16,0.0,3.34,0.57,2.61,1.01,2.82,3.13,2.53,0.32,3.11,40.480000000000004
35,598,Declan Rice,ARS,MID,8.1,0.0,5.47,0.0,4.68,0.0,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,0.0,4.87,4.37,0.0,0.0,0.0,2.63,0.0,0.0,2.43,4.23,0.0,3.58,3.15,3.0,1.11,2.77,4.24,3.73,0.81,4.37,60.07
36,337,Trent Alexander-Arnold,LIV,DEF,10.0,6.86,0.0,0.0,5.41,0.0,0.0,0.0,6.76,0.0,0.0,0.0,0.0,6.29,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.81,0.0,5.17,0.0,7.09,5.02,6.59,2.04,4.92,6.05,4.41,3.91,3.07,6.57,84.16
37,1072,Cristian Romero,TOT,DEF,7.9,4.77,0.0,0.0,5.93,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,6.19,0.0,0.0,0.0,3.29,0.0,0.0,4.07,0.0,5.83,0.0,5.11,0.0,5.67,3.8,0.79,1.89,3.16,1.74,6.15,2.3,5.89,66.75999999999999
38,872,David Raya,ARS,GK,7.3,0.0,5.38,0.0,5.48,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,5.89,0.0,0.0,0.0,0.0,3.49,0.0,0.0,4.08,6.1,0.0,5.03,5.28,4.37,1.6,4.65,5.63,4.92,1.18,5.65,73.65
39,46,Douglas Luiz,AVL,MID,8.0,0.0,5.17,0.0,3.94,0.0,0.0,0.0,0.0,0.0,5.28,0.0,0.0,4.13,0.0,0.0,0.0,3.96,0.0,0.0,0.0,2.65,4.6,0.0,0.0,2.49,4.49,2.76,2.42,2.16,3.89,3.54,3.26,2.12,4.3,61.15999999999999
40,959,João Pedro,BHA,FOR,7.7,3.74,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.57,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.17,0.0,2.99,3.4,0.0,3.2,3.63,2.08,2.5,3.63,3.53,3.2,1.84,3.71,53.09000000000001
41,412,Bruno Fernandes,MUN,MID,10.7,0.0,4.31,0.0,0.0,5.23,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0,3.29,0.0,6.32,0.0,0.0,0.0,2.54,0.0,4.38,0.0,0.0,4.19,4.41,4.66,1.88,3.97,6.44,5.03,4.31,3.39,4.41,74.67999999999999
42,20,Gabriel Dos Santos,ARS,DEF,9.3,0.0,6.01,0.0,6.01,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0,6.45,5.64,0.0,0.0,0.0,3.15,0.0,0.0,2.2,6.09,0.0,3.74,4.21,4.08,1.41,3.08,5.72,4.12,1.08,5.97,74.15
43,2405,Axel Disasi,CHE,DEF,8.4,0.0,0.0,5.1,1.54,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,3.32,0.0,1.02,0.0,3.84,0.0,0.0,3.03,3.96,3.37,1.06,1.44,1.89,3.66,3.05,1.34,3.08,44.58
44,624,Pedro Neto,WOL,MID,7.6,3.82,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,2.51,0.0,0.0,2.91,0.0,0.0,0.0,0.61,0.0,2.27,0.0,2.66,0.0,2.97,2.59,1.86,2.01,3.22,2.14,2.88,0.87,2.33,41.339999999999996
45,3243,Thomas Kaminski,LUT,GK,6.3,4.78,0.0,0.0,0.0,3.7,0.0,0.0,2.74,0.0,0.0,0.0,0.0,3.66,0.0,0.0,3.76,0.0,0.0,3.8,2.86,0.0,3.03,0.0,2.98,0.0,4.16,2.75,3.68,1.32,4.07,4.23,3.67,0.43,4.11,59.73
46,1638,Joško Gvardiol,MCI,DEF,9.3,4.55,0.0,0.0,3.4,0.0,0.0,4.33,0.0,0.0,3.8,0.0,0.0,0.0,3.76,0.0,0.0,2.36,0.0,0.0,0.0,0.19,0.0,2.81,0.0,3.3,4.2,4.29,0.92,2.72,4.0,4.41,3.48,2.17,4.68,59.36999999999999
47,741,James Trafford,BUR,GK,6.6,2.79,0.0,0.0,3.67,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,5.0,0.0,0.0,4.05,0.0,0.0,4.55,0.0,3.24,0.0,5.33,0.0,4.2,4.44,4.84,0.0,3.75,4.33,3.36,0.0,5.3,63.209999999999994
48,1744,Kudus Mohammed,WHU,MID,8.1,0.0,3.89,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,3.36,0.0,0.0,0.0,3.46,0.0,0.0,0.0,2.0,3.26,0.0,3.74,0.0,3.39,3.62,3.43,1.35,3.46,3.42,4.19,0.33,2.68,52.76
49,48,Ezri Konsa,AVL,DEF,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,2.87,0.0,0.0,0.0,2.57,5.31,0.0,0.0,1.35,5.06,1.96,2.72,2.28,3.82,3.03,2.47,2.26,4.68,41.12
50,505,James Ward-Prowse,WHU,MID,8.4,0.0,3.37,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,3.96,0.0,0.0,0.0,4.36,0.0,0.0,0.0,1.76,3.32,0.0,3.44,0.0,3.42,3.56,3.6,1.21,3.07,3.05,3.92,0.29,2.55,53.050000000000004
