,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,Total_Pts
569,378,Tommy Doyle,WOL,MID,7.2,1.52,0.0,0.36,0.0,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.4,0.0,0.41,0.0,0.45,0.0,0.0,0.0,3.8400000000000003
570,3360,Gavin Kilkenny,BOU,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.17,0.0,0.0,0.0,0.14,0.0,0.0,0.47000000000000003
571,3466,Matheus França,CRY,MID,7.4,0.0,1.49,0.0,1.6,0.0,1.35,0.0,0.0,1.03,0.0,1.37,0.0,0.0,0.0,0.0,1.3,0.0,1.38,0.0,0.0,0.0,9.52
572,918,Tim Krul,LUT,GK,6.3,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.23,0.0,0.0,0.24,0.0,0.0,0.0,0.96
573,862,Tim Iroegbunam,AVL,MID,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
574,3474,Youssef Chermiti,EVE,FOR,6.7,0.22,0.0,0.0,0.0,0.29,0.0,0.31,0.0,0.34,0.0,0.0,0.0,0.37,0.0,0.0,0.27,0.0,0.35,0.0,0.0,0.0,2.1500000000000004
575,3507,Mike Trésor,BUR,MID,7.0,1.29,0.0,0.89,0.0,0.0,0.85,0.0,0.0,1.06,0.0,0.0,0.0,0.87,0.0,0.96,0.0,0.0,0.81,0.0,0.0,0.0,6.73
576,1468,Gonzalo Montiel,FOR,DEF,7.0,0.18,0.0,0.0,0.22,0.0,0.2,0.0,0.22,0.0,0.0,0.0,0.0,0.3,0.0,0.24,0.0,0.0,0.27,0.0,0.0,0.0,1.6300000000000001
577,3379,Darko Churlinov,BUR,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
578,788,Andy Lonergan,EVE,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,2,Matt Macey,LUT,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,2144,Ethan Horvath,FOR,GK,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,1318,Tyler Adams,BOU,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,235,Jean-Philippe Gbamin,EVE,MID,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,762,Amad Diallo,MUN,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,3480,Hannes Delcroix,BUR,DEF,6.7,1.34,0.0,1.12,0.0,0.0,0.61,0.0,0.0,1.32,0.0,0.0,0.0,0.99,0.0,0.94,0.0,0.0,0.85,0.0,0.0,0.0,7.17
