,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,Total_Pts
51,1198,Bruno Guimarães,NEW,MID,8.4,5.6,0.0,0.0,0.0,3.0,0.0,2.72,0.0,0.0,3.39,0.0,3.33,0.0,0.0,3.74,0.0,3.72,0.0,3.21,4.47,4.47,4.99,3.37,2.96,48.97
52,399,Raheem Sterling,CHE,MID,8.7,3.59,0.0,0.0,0.0,4.44,0.0,0.0,0.0,3.89,0.0,3.05,3.17,0.0,0.0,0.0,4.08,0.0,3.61,3.9,4.99,4.06,3.99,3.96,4.5,51.230000000000004
53,1900,Cody Gakpo,LIV,FOR,9.6,1.83,0.0,0.0,0.0,0.0,2.81,0.0,2.61,0.0,0.0,2.57,1.8,0.0,0.0,0.0,3.03,0.0,3.1,2.4,2.72,2.35,2.53,2.34,2.74,32.83
54,376,John Stones,MCI,DEF,9.2,1.57,0.0,0.0,0.0,0.0,3.81,5.42,0.0,0.0,0.0,3.61,3.9,0.0,0.0,0.0,4.25,0.0,3.93,5.65,5.82,0.0,0.0,0.0,0.0,37.96
55,719,Joachim Andersen,CRY,DEF,7.8,2.63,0.0,0.0,3.3,0.0,0.0,4.24,0.0,0.0,4.6,0.0,4.94,0.0,0.0,0.0,4.38,0.0,4.82,2.81,1.52,2.95,2.74,4.09,1.97,44.99000000000001
56,1364,Lisandro Martínez,MUN,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2038,Nicolas Jackson,CHE,FOR,8.2,3.17,0.0,0.0,0.0,4.87,0.0,0.0,0.0,4.19,0.0,3.17,3.25,0.0,0.0,0.0,4.54,0.0,3.85,4.34,5.41,4.34,4.24,4.16,4.86,54.39
58,464,Miguel Almirón,NEW,MID,8.5,4.07,0.0,0.0,0.0,3.6,0.0,3.46,0.0,0.0,3.54,0.0,3.56,0.0,0.0,3.87,0.0,3.41,0.0,3.27,4.12,3.48,4.19,3.06,2.97,46.599999999999994
59,182,Eberechi Eze,CRY,MID,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,2.25,2.88,3.28,4.82,4.37,4.84,3.99,27.57
60,167,Thiago Silva,CHE,DEF,8.5,3.9,0.0,0.0,0.0,5.6,0.0,0.0,0.0,3.95,0.0,3.22,3.6,0.0,0.0,0.0,4.02,0.0,3.92,5.32,6.52,5.41,6.02,5.93,5.41,62.81999999999999
61,76,Dan Burn,NEW,DEF,8.5,6.55,0.0,0.0,0.0,4.92,0.0,3.45,0.0,0.0,4.58,0.0,4.24,0.0,0.0,4.43,0.0,4.52,0.0,3.06,5.31,5.43,6.34,2.77,3.07,58.67
62,425,Luke Shaw,MUN,DEF,8.8,1.82,0.0,0.0,0.0,0.0,2.02,3.67,0.0,0.0,5.59,0.0,0.0,3.91,0.0,2.32,0.0,0.0,3.44,4.72,1.95,3.91,3.48,4.38,3.17,44.379999999999995
63,396,Gabriel Jesus,ARS,FOR,10.0,3.99,0.0,0.0,0.0,5.65,0.0,3.51,0.0,0.0,4.73,0.0,3.64,0.0,0.0,5.21,0.0,4.31,0.0,3.65,4.39,3.62,4.9,4.09,4.42,56.11
64,1411,Casemiro,MUN,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.52,1.65,0.0,0.0,4.16,0.0,0.0,4.66,0.0,4.11,0.0,0.0,4.8,5.72,4.1,5.26,4.42,4.79,4.63,48.82
65,1283,Sven Botman,NEW,DEF,8.6,0.93,0.0,0.0,0.0,3.31,0.0,3.79,0.0,0.0,4.96,0.0,4.51,0.0,0.0,4.81,0.0,5.12,0.0,3.39,5.81,5.79,6.82,3.07,3.49,55.800000000000004
66,469,Fabian Schär,NEW,DEF,8.7,7.28,0.0,0.0,0.0,5.93,0.0,4.07,0.0,0.0,5.37,0.0,4.92,0.0,0.0,5.33,0.0,5.45,0.0,3.61,6.28,6.21,7.39,3.28,3.66,68.78
67,394,Kevin De Bruyne,MCI,MID,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.56
68,149,Ben Chilwell,CHE,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.01,1.58,3.46,2.59,2.64,2.74,2.79,17.560000000000002
69,1405,Iyenoma Udogie,TOT,DEF,7.7,0.0,0.0,4.87,4.15,0.0,0.0,0.0,0.0,3.79,4.15,0.0,0.0,3.81,0.0,0.0,1.58,0.0,4.25,3.14,3.87,4.22,2.64,4.69,2.61,47.769999999999996
