,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
278,259,Harrison Reed,FUL,MID,7.5,0.0,1.78,0.0,0.0,0.0,1.9,0.0,1.81,0.0,0.0,0.0,1.72,0.0,0.0,7.21
279,450,Paul Dummett,NEW,DEF,6.5,0.0,0.82,0.0,0.0,0.0,0.57,0.0,0.59,0.0,0.0,0.0,0.0,0.22,0.0,2.2
280,2391,Ansu Fati,BHA,MID,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,1253,Boubacar Kamara,AVL,MID,6.7,0.0,0.0,2.43,0.0,3.08,0.0,0.0,2.36,0.0,0.0,2.6,0.0,0.0,0.0,10.469999999999999
282,875,Mads Roerslev,BRE,DEF,6.8,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,3.68,0.0,2.89,0.0,0.0,0.0,9.55
283,3461,Calvin Bassey,FUL,DEF,7.5,0.0,1.68,0.0,0.0,0.0,1.78,0.0,1.27,0.0,0.0,0.0,0.65,0.0,0.0,5.380000000000001
284,3363,Bart Verbruggen,BHA,GK,6.9,0.0,0.0,1.23,1.58,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.51,5.82
285,676,Fábio Silva,WOL,FOR,7.4,0.0,0.0,0.75,0.0,0.0,0.0,0.82,0.0,0.74,0.0,0.86,0.0,0.0,0.0,3.1699999999999995
286,724,Rayan Aït Nouri,WOL,DEF,7.2,0.0,0.0,1.26,0.0,0.0,0.0,2.31,0.0,1.91,0.0,2.57,0.0,0.0,0.0,8.05
287,10,Rob Holding,CRY,DEF,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,1434,Divin Mubama,WHU,FOR,6.5,0.0,0.0,0.53,0.0,0.0,0.44,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.47,1.8099999999999998
289,2095,Zeki Amdouni,BUR,FOR,7.1,0.0,3.02,0.0,0.0,0.0,2.38,0.0,2.42,0.0,0.0,2.03,0.0,0.0,0.0,9.85
290,1284,Scott McKenna,FOR,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,129,Chris Wood,FOR,FOR,7.2,3.33,0.0,0.0,0.0,0.0,3.55,0.0,2.5,0.0,0.0,2.99,0.0,0.0,0.0,12.37
292,1174,Philippe Coutinho,AVL,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,1111,Connor Roberts,BUR,DEF,7.2,0.0,0.99,0.0,0.0,0.0,0.7,0.0,0.72,0.0,0.0,0.66,0.0,0.0,0.0,3.0700000000000003
294,1047,Armando Broja,CHE,FOR,7.4,0.0,1.44,0.0,0.0,0.0,0.0,0.87,0.0,0.84,0.0,0.87,0.0,0.0,0.0,4.02
295,9,Emile Smith Rowe,ARS,MID,7.9,0.0,0.0,0.34,0.0,0.0,0.53,0.0,0.0,0.0,0.81,0.0,0.72,0.0,0.0,2.4000000000000004
296,720,Tosin Adarabioyo,FUL,DEF,7.0,0.0,0.56,0.0,0.0,0.0,0.54,0.0,0.46,0.0,0.0,0.0,0.18,0.0,0.0,1.74
297,45,Cameron Archer,SHU,FOR,7.2,0.0,2.29,0.0,0.0,2.2,0.0,0.0,2.86,0.0,0.0,2.01,0.0,0.0,0.0,9.36
298,3439,Milos Kerkez,BOU,DEF,6.7,0.0,4.06,0.0,0.0,0.0,2.42,0.0,2.44,0.0,0.0,0.0,0.97,0.0,0.0,9.89
299,727,Nathaniel Clyne,CRY,DEF,7.1,0.0,0.39,0.0,0.54,0.0,0.0,0.0,0.0,0.63,0.0,0.63,0.0,0.0,0.0,2.19
300,1441,Idrissa Gana Gueye,EVE,MID,7.4,0.0,1.95,0.0,0.0,0.0,1.81,0.0,0.0,1.55,0.0,1.69,0.0,0.0,0.0,7.0
301,3207,João Gomes,WOL,MID,6.9,0.0,0.0,2.12,0.0,0.0,0.0,2.11,0.0,1.72,0.0,1.84,0.0,0.0,0.0,7.79
302,481,Sander Berge,BUR,MID,7.0,0.0,3.23,0.0,0.0,0.0,2.2,0.0,2.23,0.0,0.0,2.08,0.0,0.0,0.0,9.74
303,471,Wes Foderingham,SHU,GK,6.4,0.0,3.2,0.0,0.0,3.4,0.0,0.0,4.77,0.0,0.0,2.44,0.0,0.0,0.0,13.809999999999999
