,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,Total_Pts
99,1326,Aaron Hickey,BRE,DEF,7.5,0.0,0.0,0.0,0.37,0.0,0.58,0.0,0.0,2.76,0.0,0.0,3.33,0.0,0.0,0.0,0.0,2.5,0.0,3.2,0.0,2.81,0.0,2.6,18.15
100,121,Nick Pope,NEW,GK,7.6,0.4,0.0,0.98,0.0,0.0,1.59,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,4.43,0.0,5.43,0.0,4.75,0.0,4.75,4.13,4.17,34.26
101,802,Jean-Philippe Mateta,CRY,FOR,6.7,3.41,0.0,3.47,0.0,0.0,2.94,0.0,0.0,0.0,3.0,0.0,0.0,3.61,0.0,3.2,0.0,3.18,0.0,3.38,0.0,3.39,0.0,3.29,32.87
102,48,Ezri Konsa,AVL,DEF,7.9,5.24,0.0,0.0,1.14,0.0,4.52,0.0,0.0,0.0,1.44,0.0,0.0,4.96,0.0,0.0,0.0,3.41,0.0,2.7,0.0,2.42,0.0,4.84,30.669999999999998
103,707,Andi Zeqiri,BHA,FOR,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,812,Hugo Bueno,WOL,DEF,7.0,0.28,0.0,0.33,0.0,0.0,0.34,0.0,0.0,0.25,0.0,0.0,0.18,0.0,0.0,0.24,0.0,0.26,0.0,0.2,0.0,0.25,0.0,0.17,2.5
105,1260,Kaoru Mitoma,BHA,MID,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,1.13
106,368,Caoimhín Kelleher,LIV,GK,6.1,0.0,4.0,0.0,0.0,2.79,0.0,1.48,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51
107,784,Morgan Gibbs-White,FOR,MID,7.9,3.83,0.0,4.17,0.0,0.0,0.0,0.0,3.39,3.92,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,3.04,3.79,0.0,3.76,0.0,3.56,32.88
108,975,Marc Guéhi,CRY,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,2.72,0.0,3.14,6.620000000000001
109,129,Chris Wood,FOR,FOR,7.2,1.36,0.0,1.48,0.0,0.0,0.0,0.0,1.33,1.49,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,1.23,1.54,0.0,1.48,0.0,1.34,12.64
110,1275,Darwin Núñez,LIV,FOR,9.4,0.0,6.08,0.0,0.0,7.4,0.0,5.19,0.0,0.0,5.66,0.0,0.0,5.32,0.0,4.95,0.0,5.83,0.0,6.53,0.0,5.17,0.0,6.64,58.77
