,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,Total_Pts
550,1018,Saman Ghoddos,BRE,MID,6.5,0.0,0.89,0.72,0.0,0.0,0.55,0.0,0.0,0.43,0.0,0.39,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.32,0.0,0.0,0.24,0.0,0.0,0.0,0.88,0.0,0.0,0.5,5.6000000000000005
551,1223,Mark Travers,BOU,GK,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,3505,Jean-Ricner Bellegarde,WOL,MID,6.6,1.28,0.0,0.0,0.0,1.53,1.35,0.0,1.7,0.0,0.0,1.61,0.0,0.0,0.0,1.41,0.0,0.0,0.0,1.43,0.0,1.34,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.38,15.7
553,966,Konstantinos Mavropanos,WHU,DEF,7.3,0.0,0.78,0.41,0.0,0.0,0.0,0.55,0.0,0.0,0.37,0.0,0.57,0.0,0.0,0.75,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.74,0.0,0.77,6.550000000000001
554,1068,Roméo Lavia,CHE,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,378,Tommy Doyle,WOL,MID,7.2,0.32,0.0,0.0,0.0,0.53,0.47,0.0,0.55,0.0,0.0,0.56,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.53,0.0,0.54,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.48,5.520000000000001
556,918,Tim Krul,LUT,GK,6.3,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.29,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.26,2.33
557,2,Matt Macey,LUT,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,1321,Luis Sinisterra,BOU,MID,7.7,1.36,0.0,1.45,0.0,0.0,0.0,1.43,0.0,1.33,0.0,1.23,0.0,0.0,1.65,0.0,0.0,0.0,1.31,0.0,1.46,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,1.41,15.450000000000003
559,3391,Glen Rea,LUT,MID,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
