,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,Total_Pts
331,491,John Egan,SHU,DEF,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.55,0.0,0.0,1.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,1.24,0.0,1.11,1.15,0.79,1.76,0.0,0.57,9.700000000000001
332,885,Josh Dasilva,BRE,MID,6.9,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.75,0.77,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.73,0.75,0.68,0.7,0.77,0.79,0.0,8.45
333,1245,Ryan Christie,BOU,MID,6.7,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,2.9,0.0,2.84,0.0,2.57,0.0,0.0,2.39,0.0,0.0,0.0,2.13,0.0,0.0,2.42,2.75,2.48,2.56,2.59,0.0,28.48
334,3184,Danilo,FOR,MID,7.0,0.0,0.0,0.0,1.69,0.0,0.0,1.81,0.0,0.0,0.0,1.73,0.0,1.36,0.0,0.0,1.35,0.0,0.0,0.0,1.23,0.0,0.0,1.24,1.28,1.34,1.37,1.41,0.0,15.810000000000002
335,493,Oliver McBurnie,SHU,FOR,7.0,0.0,0.0,0.0,0.0,2.74,0.0,1.67,0.0,0.0,1.9,0.0,0.0,1.66,0.0,0.0,0.0,1.9,0.0,0.0,0.0,1.67,0.0,1.63,1.69,1.49,2.02,0.0,1.38,19.75
336,3477,Gustavo Hamer,SHU,MID,6.8,0.0,0.0,0.0,0.0,3.38,0.0,2.49,0.0,0.0,2.66,0.0,0.0,2.58,0.0,0.0,0.0,2.84,0.0,0.0,0.0,2.48,0.0,2.47,2.53,2.4,2.83,0.0,2.19,28.849999999999998
337,936,Emmanuel Dennis,FOR,FOR,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,421,Brandon Williams,MUN,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,3432,Bénie Adama Traore,SHU,FOR,7.0,0.0,0.0,0.0,0.0,0.26,0.0,0.24,0.0,0.0,0.26,0.0,0.0,0.23,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.23,0.0,0.23,0.26,0.22,0.3,0.0,0.23,2.67
340,352,Rhian Brewster,SHU,FOR,6.6,0.0,0.0,0.0,0.0,0.67,0.0,0.62,0.0,0.0,0.69,0.0,0.0,0.71,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.72,0.0,0.68,0.75,0.72,0.95,0.0,0.67,7.97
341,1450,Boubacar Traoré,WOL,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.48,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.64,0.0,0.6,0.7,0.74,0.66,0.69,0.0,5.35
342,1847,Edson Álvarez,WHU,MID,7.1,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,2.73,0.0,2.26,0.0,0.0,2.08,0.0,1.84,0.0,0.0,0.0,0.0,0.0,1.92,1.94,1.97,2.05,1.9,1.92,0.0,23.519999999999996
343,984,Oliver Skipp,TOT,MID,6.9,0.0,1.87,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.91,0.0,0.0,0.61,0.0,0.0,0.41,0.0,0.0,0.38,0.0,0.0,0.0,0.41,0.38,0.43,0.51,0.46,0.0,7.72
344,1890,Ryan Gravenberch,LIV,MID,8.1,0.0,0.0,0.0,0.0,2.63,0.0,0.0,1.65,0.0,0.0,1.26,0.0,1.38,0.0,0.0,0.97,0.0,0.0,0.0,1.24,0.0,0.0,1.0,0.96,1.09,1.09,0.0,1.14,14.41
345,812,Hugo Bueno,WOL,DEF,7.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,2.26,0.0,1.29,0.0,1.28,0.0,0.0,0.71,0.0,0.0,0.0,0.0,1.3,0.0,0.7,1.1,1.22,0.87,1.14,0.0,13.67
346,1237,David Brooks,BOU,MID,6.7,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,1.25,0.0,1.16,0.0,0.76,0.0,0.0,0.61,0.0,0.0,0.0,0.59,0.0,0.0,0.73,0.83,0.68,0.86,0.76,0.0,9.569999999999999
347,98,Adam Lallana,BHA,MID,6.8,0.0,0.0,0.0,0.0,0.0,3.04,2.06,0.0,0.0,1.79,0.0,0.0,1.44,0.0,0.0,0.0,1.51,0.0,0.0,1.59,0.0,0.0,1.24,1.35,1.02,1.09,1.02,0.0,17.15
348,1250,Fabio Vieira,ARS,MID,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.35,0.0,0.0,0.41,0.0,0.36,0.0,0.0,0.0,0.44,0.0,0.0,0.48,0.53,0.48,0.44,0.61,0.0,4.4
349,3458,Igor,BHA,DEF,7.6,0.0,0.0,0.0,0.0,0.0,1.66,2.18,0.0,0.0,2.16,0.0,0.0,0.95,0.0,0.0,0.0,2.44,0.0,0.0,2.25,0.0,0.0,1.46,2.01,0.88,0.82,1.32,0.0,18.130000000000003
350,828,Carney Chukwuemeka,CHE,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351,593,Josh Cullen,BUR,MID,7.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.43,0.0,0.56,0.0,0.0,0.52,0.0,0.0,0.56,0.0,0.0,0.0,0.59,0.0,0.0,0.69,0.65,0.62,0.59,0.66,0.0,6.32
352,368,Caoimhín Kelleher,LIV,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,155,Hakim Ziyech,CHE,MID,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,526,Matt Doherty,WOL,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,1.22,0.0,0.89,0.0,1.02,0.0,0.0,0.69,0.0,0.0,0.0,0.0,1.29,0.0,0.73,1.09,1.12,0.82,1.09,0.0,10.870000000000001
355,1231,Lloyd Kelly,BOU,DEF,6.7,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,3.21,0.0,4.01,0.0,2.36,0.0,0.0,1.27,0.0,0.0,0.0,1.34,0.0,0.0,2.96,4.52,3.0,3.49,3.51,0.0,30.599999999999994
356,1778,Wataru Endo,LIV,MID,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.73,0.0,0.0,1.47,0.0,0.0,0.0,1.57,0.0,0.0,1.48,1.22,1.47,1.43,0.0,1.71,11.34
357,3172,Kevin Schade,BRE,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,1346,Stefan Bajcetic,LIV,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.22,0.0,0.0,0.0,0.27,0.0,0.0,0.28,0.2,0.23,0.28,0.0,0.3,1.9800000000000002
359,225,Séamus Coleman,EVE,DEF,7.5,0.0,0.6,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.26,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.34,0.0,0.3,0.0,0.0,0.41,0.3,0.35,0.38,0.0,0.31,3.6999999999999997
360,3187,Noni Madueke,CHE,MID,7.9,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,1.21,0.0,0.0,0.0,0.99,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.91,0.94,0.83,1.04,0.0,1.03,11.249999999999998
361,3407,Aribim Pepple,LUT,FOR,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,1692,Benoît Badiashile,CHE,DEF,8.4,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,2.06,0.0,0.0,0.0,1.63,0.77,0.0,0.0,1.46,0.0,0.0,0.0,1.41,1.38,1.0,2.0,0.0,1.54,16.029999999999998
363,321,Jonny Evans,MUN,DEF,7.7,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.69,0.0,0.0,0.54,0.0,0.0,0.77,0.0,0.0,0.81,0.0,0.0,0.41,0.87,1.04,0.66,0.0,0.57,8.34
364,3183,Andrey Santos,FOR,MID,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,1307,Ryan Yates,FOR,MID,6.8,0.0,0.0,0.0,2.04,0.0,0.0,2.33,0.0,0.0,0.0,2.35,0.0,2.09,0.0,0.0,1.99,0.0,0.0,0.0,1.98,0.0,0.0,2.09,1.96,2.16,2.09,1.97,0.0,23.05
366,3209,Felipe,FOR,DEF,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.65,0.0,0.74,0.0,0.0,0.85,0.0,0.0,0.0,0.64,0.0,0.0,0.66,0.64,0.99,1.02,1.01,0.0,7.540000000000001
367,3213,Hamed Junior Traorè,BOU,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,441,Javier Manquillo,NEW,DEF,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,3420,Andre Brooks,SHU,MID,6.5,0.0,0.0,0.0,0.0,2.24,0.0,1.87,0.0,0.0,2.02,0.0,0.0,1.96,0.0,0.0,0.0,2.02,0.0,0.0,0.0,1.9,0.0,1.86,1.87,1.84,2.06,0.0,1.66,21.299999999999997
370,3405,Pelly Ruddock Mpanzu,LUT,MID,6.7,0.0,0.0,0.75,0.0,0.0,0.0,0.82,0.0,0.0,0.73,0.0,0.0,0.87,0.0,0.0,0.0,0.78,0.0,0.0,0.59,0.0,0.0,0.51,0.37,0.4,0.4,0.68,0.0,6.9
371,581,Dara O'Shea,BUR,DEF,6.7,0.0,0.0,5.24,0.0,0.0,0.0,0.0,0.02,0.0,3.71,0.0,0.0,0.45,0.0,0.0,1.88,0.0,0.0,0.0,2.45,0.0,0.0,3.63,2.52,3.0,1.15,4.11,0.0,28.159999999999993
372,1407,Thilo Kehrer,WHU,DEF,7.4,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.88,0.0,0.45,0.0,0.0,0.44,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.53,0.52,0.72,0.58,0.45,0.55,0.0,6.5200000000000005
