,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,Total_Pts
71,504,Nathan Redmond,BUR,MID,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,505,James Ward-Prowse,WHU,MID,8.4,4.54,0.0,0.0,0.0,3.99,3.65,0.0,3.92,0.0,0.0,3.75,0.0,0.0,4.05,0.0,0.0,4.05,0.0,3.61,0.0,3.41,0.0,4.51,0.0,2.82,42.3
73,93,Ben White,ARS,DEF,9.2,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,5.44,0.0,3.03,0.0,0.0,3.64,0.0,0.0,0.95,3.54,2.8,0.0,4.32,0.0,3.43,3.1,4.49,37.03
74,351,Mohamed Salah,LIV,MID,11.5,4.9,0.0,0.0,0.0,0.0,0.0,7.21,0.0,0.0,9.0,0.0,6.56,0.0,0.0,7.27,0.0,1.69,6.45,6.85,0.0,7.68,0.0,6.06,5.17,8.17,77.01
75,392,Bernardo Silva,MCI,MID,8.3,2.74,0.0,0.0,0.0,0.0,0.0,2.4,0.0,3.12,0.0,3.45,0.0,0.0,3.44,0.0,0.0,0.65,2.8,3.52,0.0,3.74,0.0,3.06,2.32,4.25,35.489999999999995
76,88,Alexis Mac Allister,LIV,MID,8.9,3.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.54,0.0,4.49,0.0,0.0,4.84,0.0,0.96,4.07,5.0,0.0,3.6,0.0,3.64,2.98,4.28,46.7
77,570,Sam Johnstone,CRY,GK,6.5,0.0,0.0,0.0,0.0,0.0,4.38,0.0,4.17,0.0,0.0,3.63,0.0,0.0,0.0,3.43,0.0,4.66,2.83,4.34,0.0,4.24,0.0,4.59,1.19,4.15,41.60999999999999
78,1910,Micky van de Ven,TOT,DEF,7.9,3.54,0.0,0.0,4.05,0.0,5.35,0.0,4.69,0.0,0.0,0.0,0.0,5.53,3.22,0.0,0.0,0.49,1.08,2.71,0.65,1.71,0.65,5.56,2.18,5.85,47.26
79,171,Reece James,CHE,DEF,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.87,0.0,0.0,0.0,2.11,0.54,2.0,2.73,1.13,4.07,1.1,3.37,2.72,3.93,25.08
80,1545,Matheus Cunha,WOL,FOR,7.2,0.0,0.0,0.0,0.0,0.0,0.95,0.0,1.73,0.0,0.0,3.27,0.0,0.0,3.9,0.0,0.0,0.78,3.86,4.68,0.0,2.76,0.0,4.07,3.14,3.25,32.39
81,3199,Đorđe Petrović,CHE,GK,6.3,0.0,4.35,0.0,0.0,0.0,4.9,0.0,0.0,0.0,4.16,0.0,4.9,0.0,0.0,0.0,4.72,0.9,3.55,3.95,1.6,4.63,1.58,4.37,4.0,4.58,52.19
82,2405,Axel Disasi,CHE,DEF,8.4,0.0,4.39,0.0,0.0,0.0,5.18,0.0,0.0,0.0,4.2,0.0,5.34,0.0,0.0,0.0,4.75,0.57,1.79,2.77,1.04,5.09,1.03,4.3,2.49,4.35,47.29
83,371,Andrew Robertson,LIV,DEF,9.1,3.12,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,7.18,0.0,4.75,0.0,0.0,6.16,0.0,1.14,4.84,5.49,0.0,3.87,0.0,3.82,3.55,5.69,54.169999999999995
84,230,Richarlison,TOT,FOR,8.0,0.0,0.0,0.0,1.08,0.0,5.28,0.0,4.24,0.0,0.0,0.0,0.0,5.02,3.98,0.0,0.0,0.78,1.71,3.51,0.89,3.51,0.88,5.02,3.08,4.51,43.489999999999995
85,347,Alisson,LIV,GK,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,2.97,0.0,3.49,0.0,0.0,6.24,0.0,1.31,5.54,6.06,0.0,4.79,0.0,4.72,4.07,6.03,46.38
86,2077,Pablo Sarabia,WOL,MID,6.8,0.0,0.0,0.0,0.0,0.0,3.67,0.0,4.1,0.0,0.0,4.68,0.0,0.0,3.41,0.0,0.0,0.63,3.03,3.26,0.0,1.94,0.0,2.68,2.04,2.16,31.6
87,396,Gabriel Jesus,ARS,FOR,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,3.39,0.0,2.86,0.0,0.0,3.68,0.0,0.0,0.93,4.18,3.91,0.0,5.14,0.0,3.95,3.29,4.82,37.62
88,531,Pierre Højbjerg,TOT,MID,8.1,0.3,0.0,0.0,0.38,0.0,0.51,0.0,0.47,0.0,0.0,0.0,0.0,0.52,0.56,0.0,0.0,0.11,0.24,0.48,0.12,0.54,0.13,0.62,0.47,0.63,6.08
89,1439,Manuel Akanji,MCI,DEF,9.2,1.3,0.0,0.0,0.0,0.0,0.0,2.7,0.0,3.35,0.0,4.61,0.0,0.0,3.89,0.0,0.0,0.6,2.78,4.74,0.0,4.74,0.0,3.66,2.31,4.99,39.67000000000001
90,1435,Alexander Isak,NEW,FOR,9.0,0.0,4.66,0.0,0.0,0.0,6.66,0.0,6.18,0.0,0.0,4.65,0.0,0.0,6.0,0.0,0.0,2.61,3.68,6.91,0.0,5.04,0.0,5.25,2.49,3.98,58.10999999999999
91,696,Sergio Reguilón,BRE,DEF,7.6,0.0,0.0,0.0,4.69,0.0,4.14,0.0,0.0,4.12,0.0,3.44,0.0,0.0,5.32,0.0,0.0,4.66,0.0,3.64,0.0,4.41,0.0,4.11,0.0,3.8,42.33
92,261,Tim Ream,FUL,DEF,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.22,0.0,0.0,0.05,0.02,0.25,0.0,0.22,0.0,0.18,0.13,0.28,1.66
93,741,James Trafford,BUR,GK,6.6,4.29,0.0,0.0,4.81,0.0,3.23,0.0,5.09,0.0,0.0,3.98,0.0,0.0,4.2,0.0,0.0,4.99,0.0,3.79,0.0,4.19,0.0,3.36,0.0,5.32,47.25
94,2095,Zeki Amdouni,BUR,FOR,7.1,2.95,0.0,0.0,3.57,0.0,2.85,0.0,3.55,0.0,0.0,2.71,0.0,0.0,3.14,0.0,0.0,3.01,0.0,2.77,0.0,3.29,0.0,2.81,0.0,3.63,34.28
95,1249,Kieffer Moore,BOU,FOR,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,559,Hugo Lloris,TOT,GK,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2038,Nicolas Jackson,CHE,FOR,8.2,0.0,5.14,0.0,0.0,0.0,4.54,0.0,0.0,0.0,3.32,0.0,3.53,0.0,0.0,0.0,3.81,0.73,2.81,3.59,1.6,4.74,1.6,3.99,3.92,4.62,47.940000000000005
98,3471,Vinicius Souza,SHU,MID,6.7,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,3.71,0.0,3.69,0.0,2.84,0.0,0.0,3.25,2.37,3.29,0.0,2.86,0.0,3.09,0.99,3.47,32.89
