,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,Total_Pts
374,866,Emi Buendía,AVL,MID,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.74,0.16,0.68,0.58,0.62,0.06,0.59,3.62
375,475,Jack Robinson,SHU,DEF,6.7,2.22,0.0,0.0,2.4,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.57,0.0,1.63,0.0,0.0,0.18,0.0,2.55,0.0,0.11,1.95,0.0,1.16,3.02,0.09,0.69,2.81,1.5,0.65,1.79,28.209999999999997
376,1282,Tyrell Malacia,MUN,DEF,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.35,0.0,0.0,0.65,0.0,0.0,0.18,0.0,0.53,0.0,0.51,0.54,0.0,0.62,0.61,0.09,0.81,0.62,0.56,0.6,0.5,8.049999999999999
377,1059,James Mcatee,SHU,MID,6.5,2.58,0.0,0.0,2.4,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,2.31,0.0,2.41,0.0,0.0,0.46,0.0,2.72,0.0,2.06,2.61,0.0,2.25,2.74,0.23,2.23,2.73,2.31,1.59,2.68,39.31
378,604,Aaron Cresswell,WHU,DEF,7.7,0.0,0.3,0.0,0.0,0.34,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.5,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.37,0.43,0.63,0.0,0.62,0.0,0.73,0.61,0.16,0.51,0.5,0.81,0.06,0.38,8.600000000000001
379,1847,Edson Álvarez,WHU,MID,7.1,0.0,2.19,0.0,0.0,2.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,1.92,1.92,0.0,0.0,0.0,1.87,0.0,0.0,0.0,1.25,1.83,1.74,0.0,1.68,0.0,1.72,1.8,0.48,1.82,1.84,1.97,0.17,1.54,29.59
380,613,Łukasz Fabiański,WHU,GK,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.13,0.16,0.22,0.0,0.2,0.0,0.25,0.19,0.05,0.17,0.17,0.24,0.02,0.15,2.1799999999999997
381,492,Chris Basham,SHU,DEF,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.0,0.27,0.41,0.03,0.24,0.4,0.29,0.18,0.33,2.4600000000000004
382,1383,Manor Solomon,TOT,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.35,0.0,0.0,0.44,0.35,0.0,0.48,0.0,0.28,0.34,0.07,0.37,0.35,0.48,0.31,0.43,4.52
383,188,Wayne Hennessey,FOR,GK,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
